batch_id,batch_type,time_h,pH,DO_pct,temperature_C,agitation_rpm,feed_rate_A_mL_h,feed_rate_B_mL_h,glucose_g_L,lactate_g_L,VCD_e6_mL,viability_pct,titer_mg_L
NOR-001,normal,0,7.106094341595088,80.73045872117838,36.46726061522853,152.33201272818522,3.8543552457009502,1.8925949935776714,3.375616658802223,0.7747972171224061,0.6879952272517101,98.06689686192844,0.0
NOR-001,normal,4,7.079200317875189,78.10781688810123,36.522303610074104,151.89953631863796,5.75218336451513,2.56107550581358,3.8810706549209457,0.8076492518256092,0.937888457849378,97.1550464329207,10.125146409568696
NOR-001,normal,8,7.115009023916129,77.66610752723092,36.47725082598296,150.0620079767859,6.236016786616289,3.156230949349795,4.0397909892062955,1.0597171640259242,0.4752676749324898,96.17612723388798,3.2499673055608977
NOR-001,normal,12,7.118811294327824,77.2269920034138,36.438719711811636,151.38424539216615,7.006945142686346,2.545345545386888,3.9655597392715807,1.0309957056821624,0.578542346724853,98.14545329544066,8.18525161667845
NOR-001,normal,16,7.060979296226923,76.05677754724306,36.43610312128402,148.25626495584243,8.208104840825603,3.397848240477976,4.316322448676032,0.7903428557509081,0.6520262069530149,97.78319627270857,8.452914703833585
NOR-001,normal,20,7.073956409862753,75.28832274561675,36.5086293958861,152.2616692442665,6.968380861597629,3.2878368182527398,4.137858090494421,1.2006920823783622,1.1296425422422605,97.08737648023649,14.983689277346407
NOR-001,normal,24,7.102556808063345,73.06749797626532,36.57895456282052,152.77226610140173,8.304448287404448,4.06240912653896,4.267330407243199,1.1084624180296379,1.4496453527784026,95.8041707334847,19.521729940785743
NOR-001,normal,28,7.093675148153128,71.52654665586212,36.50799958067867,154.86317633554543,9.495453161396677,4.200674004793682,3.7246510871076963,1.4627857356327332,0.9824045052722713,96.28050009676213,0.0
NOR-001,normal,32,7.0996639768499135,71.00905002161309,36.49406808369451,153.09592310544772,9.00920280027303,4.010728252245741,4.359126163364219,1.2586323647759419,1.1259163580330906,94.80964254448146,30.178618108890294
NOR-001,normal,36,7.082939121448528,67.58521103373928,36.51429130698013,156.77175842477828,11.137974524026752,5.158489097470545,4.6515747790495965,1.3427854546631635,1.4954698006410883,94.56223782151822,18.236391689181723
NOR-001,normal,40,7.117587959497256,66.95317647604428,36.56530008708534,158.99052840584045,11.18417830635033,5.018499786157381,3.6119401921394347,1.6089504678886484,1.4913135381929838,93.12522290363042,18.437273374994184
NOR-001,normal,44,7.115555838708579,66.16707845921711,36.51096912506819,157.01390703062444,12.0232919929217,5.359829928487933,3.644921737714176,1.7352678822028982,2.0316802968031813,93.91759304359907,37.32643760433321
NOR-001,normal,48,7.101320613951224,65.70180142259099,36.47945363845831,158.19812636805474,11.914528169239102,5.519074276613093,4.5343137345280935,1.7840955444903597,1.2701299324715432,93.24830874273954,44.03574980562765
NOR-001,normal,52,7.122544824139361,66.86275648829913,36.55531443550299,157.89756128082885,13.206881844983107,5.963715016993733,3.9234624053219758,1.5624653126259198,1.917173392597293,91.75787830653242,41.77134455476653
NOR-001,normal,56,7.109350186845041,63.98880590430344,36.52143782192308,158.33358651260758,13.93423577799452,6.608367132208476,4.561528556826623,1.9960905397822317,2.1712175352669494,92.35904231054673,62.743423971861475
NOR-001,normal,60,7.082814150742335,63.88184940984398,36.5767877995998,156.76389732794289,14.116439010068584,6.743226697719078,3.8229857152431266,1.8611804415304236,1.9730728910403883,91.93621634891456,46.94640938832782
NOR-001,normal,64,7.10737501568165,65.51778467110056,36.5091617218611,160.47329230882943,14.717200446349347,7.218598600684745,4.582018230508284,2.15255435539912,2.6669386944597386,93.03804893331571,62.4350623937197
NOR-001,normal,68,7.080822347983419,62.17182340916444,36.438776548413976,159.82718782380715,15.335171619640862,7.548576556178653,4.052594326722181,2.003708728333611,2.9929232022937695,91.91537066281073,66.98698238553396
NOR-001,normal,72,7.117569006026145,62.966852916962495,36.431592040037714,166.9937906410775,15.368327367630307,8.15619849665845,4.103291529329078,2.382320914815687,3.5439344959303365,90.80915635127317,78.89013584853959
NOR-001,normal,76,7.099001481780275,59.631258032726535,36.58254639661156,166.02958851694953,16.32623565987982,7.977164154740686,4.625887208667962,2.28958057728262,4.3008103445746055,90.59902984784087,88.84866614654617
NOR-001,normal,80,7.096302752729095,59.91104642533691,36.586183286039166,163.0623015624314,16.92373873377382,7.956942654946281,3.8552918090223316,2.3094483097529417,4.282099072353553,90.03536990248335,82.86393459410104
